TOOL,DATASET,THREADS,CPD,MTTKRP,INVERSE,MAT MULT,MAT A^TA,MAT NORM,CPD FIT,IO,SORT,TOTAL
C,YELP,20,2.063,1.3534,0.0044,0.171,0.4362,0.0228,0.0234,0.052,0.0876,2.4412

CHAPEL,YELP,20,23.1442,21.6,0.004,0.7578,0.4138,0.2832,0.0614,0.1492,8.7644,34.0198

