TOOL,DATASET,THREADS,CPD,MTTKRP,INVERSE,MAT MULT,MAT A^TA,MAT NORM,CPD FIT,IO,SORT,TOTAL
C,NELL-2,20,11.3258,10.877,0.0046,0.1294,0.2582,0.017,0.0076,0.4352,0.8932,12.9756

CHAPEL,NELL-2,20,139.3666,138.7486,0.004,0.2876,0.1624,0.127,0.0204,1.346,82.9616,226.0776

